iteration;stat;counter
0;conflicting_iso_vertices;209
0;conflicting_triangles;219
0;extended_conflicting_triangles;1078
0;vertices_to_smooth;832
0;updated_vertices;377
0;conflicting_sharp_vertices;0
0;conflicting_spur_vertices;89
0;conflicting_gully_vertices;120
0;conflicting_sharp_triangles;0
0;conflicting_spur_triangles;108
0;conflicting_gully_triangles;149
1;conflicting_iso_vertices;169
1;conflicting_triangles;191
1;extended_conflicting_triangles;930
1;vertices_to_smooth;717
1;updated_vertices;325
1;conflicting_sharp_vertices;0
1;conflicting_spur_vertices;78
1;conflicting_gully_vertices;91
1;conflicting_sharp_triangles;0
1;conflicting_spur_triangles;99
1;conflicting_gully_triangles;116
2;conflicting_iso_vertices;139
2;conflicting_triangles;168
2;extended_conflicting_triangles;834
2;vertices_to_smooth;644
2;updated_vertices;290
2;conflicting_sharp_vertices;0
2;conflicting_spur_vertices;61
2;conflicting_gully_vertices;78
2;conflicting_sharp_triangles;0
2;conflicting_spur_triangles;74
2;conflicting_gully_triangles;100
3;conflicting_iso_vertices;152
3;conflicting_triangles;160
3;extended_conflicting_triangles;751
3;vertices_to_smooth;577
3;updated_vertices;245
3;conflicting_sharp_vertices;0
3;conflicting_spur_vertices;60
3;conflicting_gully_vertices;92
3;conflicting_sharp_triangles;0
3;conflicting_spur_triangles;75
3;conflicting_gully_triangles;111
4;conflicting_iso_vertices;113
4;conflicting_triangles;125
4;extended_conflicting_triangles;628
4;vertices_to_smooth;495
4;updated_vertices;187
4;conflicting_sharp_vertices;0
4;conflicting_spur_vertices;46
4;conflicting_gully_vertices;67
4;conflicting_sharp_triangles;0
4;conflicting_spur_triangles;58
4;conflicting_gully_triangles;82
5;conflicting_iso_vertices;94
5;conflicting_triangles;113
5;extended_conflicting_triangles;553
5;vertices_to_smooth;436
5;updated_vertices;152
5;conflicting_sharp_vertices;0
5;conflicting_spur_vertices;40
5;conflicting_gully_vertices;54
5;conflicting_sharp_triangles;0
5;conflicting_spur_triangles;50
5;conflicting_gully_triangles;69
6;conflicting_iso_vertices;101
6;conflicting_triangles;121
6;extended_conflicting_triangles;576
6;vertices_to_smooth;451
6;updated_vertices;164
6;conflicting_sharp_vertices;0
6;conflicting_spur_vertices;38
6;conflicting_gully_vertices;63
6;conflicting_sharp_triangles;0
6;conflicting_spur_triangles;48
6;conflicting_gully_triangles;80
7;conflicting_iso_vertices;88
7;conflicting_triangles;104
7;extended_conflicting_triangles;537
7;vertices_to_smooth;426
7;updated_vertices;146
7;conflicting_sharp_vertices;0
7;conflicting_spur_vertices;35
7;conflicting_gully_vertices;53
7;conflicting_sharp_triangles;0
7;conflicting_spur_triangles;44
7;conflicting_gully_triangles;68
8;conflicting_iso_vertices;75
8;conflicting_triangles;92
8;extended_conflicting_triangles;483
8;vertices_to_smooth;385
8;updated_vertices;114
8;conflicting_sharp_vertices;0
8;conflicting_spur_vertices;25
8;conflicting_gully_vertices;50
8;conflicting_sharp_triangles;0
8;conflicting_spur_triangles;32
8;conflicting_gully_triangles;64
9;conflicting_iso_vertices;75
9;conflicting_triangles;92
9;extended_conflicting_triangles;483
9;vertices_to_smooth;385
9;updated_vertices;115
9;conflicting_sharp_vertices;0
9;conflicting_spur_vertices;25
9;conflicting_gully_vertices;50
9;conflicting_sharp_triangles;0
9;conflicting_spur_triangles;32
9;conflicting_gully_triangles;64
10;conflicting_iso_vertices;75
10;conflicting_triangles;92
10;extended_conflicting_triangles;483
10;vertices_to_smooth;385
10;updated_vertices;109
10;conflicting_sharp_vertices;0
10;conflicting_spur_vertices;25
10;conflicting_gully_vertices;50
10;conflicting_sharp_triangles;0
10;conflicting_spur_triangles;32
10;conflicting_gully_triangles;64
11;conflicting_iso_vertices;92
11;conflicting_triangles;101
11;extended_conflicting_triangles;511
11;vertices_to_smooth;403
11;updated_vertices;116
11;conflicting_sharp_vertices;0
11;conflicting_spur_vertices;33
11;conflicting_gully_vertices;59
11;conflicting_sharp_triangles;0
11;conflicting_spur_triangles;41
11;conflicting_gully_triangles;75
12;conflicting_iso_vertices;79
12;conflicting_triangles;94
12;extended_conflicting_triangles;488
12;vertices_to_smooth;387
12;updated_vertices;101
12;conflicting_sharp_vertices;0
12;conflicting_spur_vertices;22
12;conflicting_gully_vertices;57
12;conflicting_sharp_triangles;0
12;conflicting_spur_triangles;28
12;conflicting_gully_triangles;72
13;conflicting_iso_vertices;79
13;conflicting_triangles;90
13;extended_conflicting_triangles;479
13;vertices_to_smooth;382
13;updated_vertices;94
13;conflicting_sharp_vertices;0
13;conflicting_spur_vertices;26
13;conflicting_gully_vertices;53
13;conflicting_sharp_triangles;0
13;conflicting_spur_triangles;33
13;conflicting_gully_triangles;67
14;conflicting_iso_vertices;81
14;conflicting_triangles;93
14;extended_conflicting_triangles;486
14;vertices_to_smooth;387
14;updated_vertices;91
14;conflicting_sharp_vertices;0
14;conflicting_spur_vertices;26
14;conflicting_gully_vertices;55
14;conflicting_sharp_triangles;0
14;conflicting_spur_triangles;33
14;conflicting_gully_triangles;70
15;conflicting_iso_vertices;77
15;conflicting_triangles;92
15;extended_conflicting_triangles;484
15;vertices_to_smooth;386
15;updated_vertices;93
15;conflicting_sharp_vertices;0
15;conflicting_spur_vertices;22
15;conflicting_gully_vertices;55
15;conflicting_sharp_triangles;0
15;conflicting_spur_triangles;28
15;conflicting_gully_triangles;70
16;conflicting_iso_vertices;77
16;conflicting_triangles;92
16;extended_conflicting_triangles;484
16;vertices_to_smooth;386
16;updated_vertices;89
16;conflicting_sharp_vertices;0
16;conflicting_spur_vertices;22
16;conflicting_gully_vertices;55
16;conflicting_sharp_triangles;0
16;conflicting_spur_triangles;28
16;conflicting_gully_triangles;70
17;conflicting_iso_vertices;74
17;conflicting_triangles;88
17;extended_conflicting_triangles;475
17;vertices_to_smooth;380
17;updated_vertices;78
17;conflicting_sharp_vertices;0
17;conflicting_spur_vertices;22
17;conflicting_gully_vertices;52
17;conflicting_sharp_triangles;0
17;conflicting_spur_triangles;28
17;conflicting_gully_triangles;66
18;conflicting_iso_vertices;70
18;conflicting_triangles;84
18;extended_conflicting_triangles;459
18;vertices_to_smooth;369
18;updated_vertices;71
18;conflicting_sharp_vertices;0
18;conflicting_spur_vertices;25
