SEP=;
sharps;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57;58;59;60;61;62;63;64;65;66;67;68;69;70;71;72;73;74;75;76;77;78;79;80;81;82;83;84;85;86;87;88;89;90;91;92;93;94;95;96;97;98;99;100
[1.134, 1.222];20;18;12;11;12;10;8;9;8;7;6;6;8;7;6;6;6;7;7;7;5;5;4;6;6;5;6;5;5;5;5;5;5;6;6;5;4;4;4;5;4;4;5;5;5;6;5;5;5;7;8;8;7;6;6;4;4;4;5;5;5;4;4;4;4;4;4;4;4;4;4;6;5;5;4;4;4;4;5;3;3;3;3;3;3;3;3;3;3;3;4;3;4;5;5;6;4;4;5;5;5
[1.222, 1.309];14;8;9;8;5;6;7;7;6;7;4;4;3;3;3;3;2;4;2;2;2;2;3;2;2;3;2;2;2;2;2;2;3;2;2;3;4;2;2;2;3;3;2;2;4;3;4;3;5;4;2;2;1;1;2;1;1;2;1;1;1;1;1;1;2;2;3;3;3;2;2;1;1;1;1;1;1;1;1;1;2;1;1;2;1;1;1;1;1;1;1;2;2;2;2;2;2;2;1;2;2
[1.309, 1.396];12;9;7;8;8;7;7;5;6;6;8;6;5;5;5;5;5;6;6;5;5;5;4;4;4;5;4;4;5;5;5;5;5;5;5;5;5;5;5;5;4;4;5;5;4;4;4;4;4;4;4;4;4;4;4;4;5;5;5;5;5;5;6;6;5;5;5;5;6;5;4;5;4;4;4;4;4;4;5;5;4;4;4;7;4;4;4;4;4;4;5;4;5;5;5;6;5;5;5;5;6
[1.396, 1.484];11;7;9;4;5;5;5;6;4;5;5;4;4;4;4;5;5;4;4;3;3;3;4;3;4;3;3;3;2;2;3;2;2;2;2;2;2;2;2;3;2;2;2;2;2;2;1;2;2;2;2;2;2;2;2;2;1;1;1;1;1;1;1;1;1;1;1;2;2;2;3;2;3;3;2;2;2;2;2;3;2;3;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2
[1.484, 1.571];6;6;4;6;6;5;3;3;4;4;2;2;2;1;1;1;1;1;1;1;1;1;1;1;2;1;1;3;4;3;2;2;2;2;2;3;3;2;2;2;3;3;3;3;3;3;3;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;3;2;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;3;2;1;1;1
[1.571, 1.745];8;9;8;7;4;4;6;6;5;5;6;5;3;5;4;3;3;2;6;4;4;4;4;5;3;3;5;4;4;2;2;2;2;2;2;2;3;2;2;2;1;1;1;2;1;2;1;2;1;1;1;1;1;1;2;1;1;1;1;2;2;2;2;2;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2;1;1;1;1;1;3;1;1;2;1;2;2;2;3;3;2;2;2;1;1;1
[1.745, 2.094];3;3;2;2;4;3;3;5;4;3;4;4;5;4;4;4;4;4;4;4;4;4;5;5;6;6;5;3;4;2;2;2;3;2;2;2;2;2;2;2;2;2;2;3;2;2;2;2;2;2;2;3;3;4;2;2;2;2;1;2;3;4;3;3;6;1;1;3;1;1;2;2;2;2;2;2;2;2;2;2;3;2;3;3;3;3;3;3;3;3;3;2;3;3;3;2;3;2;2;1;2
[2.094, 2.443];1;0;1;2;2;2;1;1;0;0;0;1;0;0;0;0;0;0;1;0;0;0;1;0;0;0;1;1;1;1;1;1;2;1;1;2;2;2;2;2;1;1;3;1;1;1;1;1;4;3;2;2;2;3;4;4;4;3;3;3;3;3;5;3;3;3;3;3;3;3;2;3;2;2;2;2;2;2;2;2;2;3;2;2;2;2;2;2;2;2;1;1;2;2;2;2;2;1;1;1;1
[2.443, 2.793];3;2;1;2;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;3;1;1;1;1;1;1;1;1;1;1;1;0;0;0;2;0;1;1;1;1;1;1;1;1;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
[2.793, 3.142];4;3;3;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;3;2;2;2;2;2;2;3;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;3;2;2;2;2;2
[3.142, 10];0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
