sharps;0
[0, 0.087];1522
[0.087, 0.175];657
[0.175, 0.262];422
[0.262, 0.349];273
[0.349, 0.436];218
[0.436, 0.524];170
[0.524, 0.611];131
[0.611, 0.698];103
[0.698, 0.785];76
[0.785, 0.873];70
[0.873, 0.96];65
[0.96, 1.047];35
[1.047, 1.134];25
[1.134, 1.222];20
[1.222, 1.309];14
[1.309, 1.396];12
[1.396, 1.484];11
[1.484, 1.571];6
[1.571, 1.745];8
[1.745, 2.094];3
[2.094, 2.443];1
[2.443, 2.793];3
[2.793, 3.142];4
[3.142, 10];0
