iteration;stat;counter
0;conflicting_iso_vertices;226
0;conflicting_triangles;241
0;extended_conflicting_triangles;1216
0;vertices_to_smooth;940
0;updated_vertices;405
0;conflicting_sharp_vertices;17
0;conflicting_spur_vertices;89
0;conflicting_gully_vertices;120
0;conflicting_sharp_triangles;27
0;conflicting_spur_triangles;108
0;conflicting_gully_triangles;149
1;conflicting_iso_vertices;180
1;conflicting_triangles;210
1;extended_conflicting_triangles;1022
1;vertices_to_smooth;782
1;updated_vertices;341
1;conflicting_sharp_vertices;11
1;conflicting_spur_vertices;78
1;conflicting_gully_vertices;91
1;conflicting_sharp_triangles;19
1;conflicting_spur_triangles;99
1;conflicting_gully_triangles;116
2;conflicting_iso_vertices;149
2;conflicting_triangles;186
2;extended_conflicting_triangles;924
2;vertices_to_smooth;710
2;updated_vertices;308
2;conflicting_sharp_vertices;10
2;conflicting_spur_vertices;61
2;conflicting_gully_vertices;78
2;conflicting_sharp_triangles;18
2;conflicting_spur_triangles;74
2;conflicting_gully_triangles;100
3;conflicting_iso_vertices;163
3;conflicting_triangles;179
3;extended_conflicting_triangles;854
3;vertices_to_smooth;655
3;updated_vertices;271
3;conflicting_sharp_vertices;11
3;conflicting_spur_vertices;60
3;conflicting_gully_vertices;92
3;conflicting_sharp_triangles;19
3;conflicting_spur_triangles;75
3;conflicting_gully_triangles;111
4;conflicting_iso_vertices;123
4;conflicting_triangles;141
4;extended_conflicting_triangles;730
4;vertices_to_smooth;576
4;updated_vertices;210
4;conflicting_sharp_vertices;10
4;conflicting_spur_vertices;46
4;conflicting_gully_vertices;67
4;conflicting_sharp_triangles;18
4;conflicting_spur_triangles;58
4;conflicting_gully_triangles;82
5;conflicting_iso_vertices;102
5;conflicting_triangles;127
5;extended_conflicting_triangles;648
5;vertices_to_smooth;513
5;updated_vertices;175
5;conflicting_sharp_vertices;8
5;conflicting_spur_vertices;40
5;conflicting_gully_vertices;54
5;conflicting_sharp_triangles;14
5;conflicting_spur_triangles;50
5;conflicting_gully_triangles;69
6;conflicting_iso_vertices;109
6;conflicting_triangles;135
6;extended_conflicting_triangles;671
6;vertices_to_smooth;528
6;updated_vertices;187
6;conflicting_sharp_vertices;8
6;conflicting_spur_vertices;38
6;conflicting_gully_vertices;63
6;conflicting_sharp_triangles;14
6;conflicting_spur_triangles;48
6;conflicting_gully_triangles;80
7;conflicting_iso_vertices;99
7;conflicting_triangles;122
7;extended_conflicting_triangles;644
7;vertices_to_smooth;511
7;updated_vertices;172
7;conflicting_sharp_vertices;8
7;conflicting_spur_vertices;35
7;conflicting_gully_vertices;56
7;conflicting_sharp_triangles;14
7;conflicting_spur_triangles;44
7;conflicting_gully_triangles;72
8;conflicting_iso_vertices;87
8;conflicting_triangles;111
8;extended_conflicting_triangles;605
8;vertices_to_smooth;482
8;updated_vertices;145
8;conflicting_sharp_vertices;8
8;conflicting_spur_vertices;25
8;conflicting_gully_vertices;54
8;conflicting_sharp_triangles;14
8;conflicting_spur_triangles;32
8;conflicting_gully_triangles;69
9;conflicting_iso_vertices;92
9;conflicting_triangles;113
9;extended_conflicting_triangles;611
9;vertices_to_smooth;485
9;updated_vertices;147
9;conflicting_sharp_vertices;8
9;conflicting_spur_vertices;31
9;conflicting_gully_vertices;53
9;conflicting_sharp_triangles;14
9;conflicting_spur_triangles;39
9;conflicting_gully_triangles;68
